FirstName,Phone,Notes
Liam Johnson,555-0101,Initial contact made
Olivia Smith,555-0102,Sent follow-up email
Noah Williams,555-0103,Meeting scheduled for Friday
Emma Brown,555-0104,Interested in product demo
Oliver Jones,555-0105,Call back next week
Ava Garcia,555-0106,Needs pricing information
Elijah Miller,555-0107,High-priority lead
Sophia Davis,555-0108,Requested a brochure
James Rodriguez,555-0109,Spoke with assistant
Isabella Martinez,555-0110,Left a voicemail
Lucas Hernandez,555-0111,Engaged on social media
Mia Lopez,555-0112,Referred by an existing client
Henry Gonzalez,555-0113,Wants to discuss options
Amelia Wilson,555-0114,Not interested at this time
Benjamin Anderson,555-0115,Budget decision in Q4
Charlotte Thomas,555-0116,Finalizing proposal
Theodore Taylor,555-0117,Sent quote
Harper Moore,555-0118,Follow up in one month
Mateo Jackson,555-0119,Very interested
Evelyn White,555-0120,Asked for a case study
Daniel Harris,555-0121,New contact from webinar
Penelope Martin,555-0122,Needs to speak with manager
Jack Thompson,555-0123,In evaluation phase
Lily Robinson,555-0124,Contact again in January
Leo Clark,555-0125,Ready to move forward
